147264.00000000,44741.00000000,3779.00000000,17410.000000,22705748.000000
147312.00000000,44772.00000000,3827.00000000,20993.000000,22706576.000000
147311.00000000,44805.00000000,3862.00000000,23942.000000,22706936.000000
147315.00000000,44825.00000000,3889.00000000,22915.000000,22707092.000000
147327.00000000,44806.00000000,3902.00000000,20577.000000,22707448.000000
147335.00000000,44787.00000000,3887.00000000,21189.000000,22707450.000000
147334.00000000,44778.00000000,3925.00000000,20905.000000,22707608.000000
147345.00000000,44741.00000000,3942.00000000,22806.000000,22707768.000000
147347.00000000,44759.00000000,3938.00000000,24313.000000,22707768.000000
147351.00000000,44763.00000000,3930.00000000,20315.000000,22707768.000000
147352.00000000,44789.00000000,3928.00000000,25842.000000,22707770.000000
147363.00000000,44712.00000000,3944.00000000,21539.000000,22708128.000000
147367.00000000,44714.00000000,3937.00000000,21626.000000,22708130.000000
147368.00000000,44739.00000000,3936.00000000,20184.000000,22708132.000000
147364.00000000,44779.00000000,3940.00000000,21473.000000,22708132.000000
147370.00000000,44805.00000000,3929.00000000,32352.000000,22708134.000000
147404.00000000,44840.00000000,3868.00000000,33947.000000,22708142.000000
147374.00000000,44591.00000000,3963.00000000,20730.000000,22708288.000000
147371.00000000,44652.00000000,3966.00000000,18546.000000,22708288.000000
147376.00000000,44660.00000000,3958.00000000,20577.000000,22708290.000000
147366.00000000,44728.00000000,3973.00000000,26323.000000,22708292.000000
147376.00000000,44736.00000000,3955.00000000,20840.000000,22708292.000000
147380.00000000,44790.00000000,3947.00000000,33663.000000,22708296.000000
147384.00000000,44795.00000000,3939.00000000,31434.000000,22708296.000000
147414.00000000,44805.00000000,3921.00000000,33357.000000,22708464.000000
147387.00000000,44605.00000000,3974.00000000,22063.000000,22708652.000000
147382.00000000,44713.00000000,3979.00000000,23614.000000,22708654.000000
147382.00000000,44738.00000000,3979.00000000,21648.000000,22708656.000000
147391.00000000,44626.00000000,4001.00000000,21145.000000,22708812.000000
147397.00000000,44619.00000000,3991.00000000,17672.000000,22708812.000000
147395.00000000,44655.00000000,3992.00000000,24684.000000,22708814.000000
147395.00000000,44680.00000000,3992.00000000,22303.000000,22708816.000000
147399.00000000,44765.00000000,3982.00000000,31041.000000,22708820.000000
147404.00000000,44774.00000000,3976.00000000,33269.000000,22708820.000000
147408.00000000,44777.00000000,3968.00000000,33619.000000,22708820.000000
147412.00000000,44779.00000000,3960.00000000,32505.000000,22708822.000000
147417.00000000,44783.00000000,3952.00000000,34558.000000,22708824.000000
147421.00000000,44791.00000000,3945.00000000,35956.000000,22708824.000000
147429.00000000,44798.00000000,3929.00000000,33532.000000,22708826.000000
147445.00000000,44818.00000000,3900.00000000,32745.000000,22708830.000000
147462.00000000,44837.00000000,3871.00000000,34012.000000,22708834.000000
147410.00000000,44541.00000000,4005.00000000,22806.000000,22708970.000000
147403.00000000,44686.00000000,4012.00000000,30954.000000,22708974.000000
147408.00000000,44685.00000000,4004.00000000,24335.000000,22708976.000000
147408.00000000,44709.00000000,4004.00000000,23854.000000,22708976.000000
147411.00000000,44727.00000000,3999.00000000,23461.000000,22708976.000000
147414.00000000,44762.00000000,3992.00000000,33117.000000,22708980.000000
147419.00000000,44765.00000000,3984.00000000,33029.000000,22708980.000000
147424.00000000,44765.00000000,3974.00000000,32680.000000,22708980.000000
147426.00000000,44777.00000000,3970.00000000,34558.000000,22708982.000000
147431.00000000,44777.00000000,3962.00000000,33379.000000,22708984.000000
147434.00000000,44785.00000000,3955.00000000,34165.000000,22708984.000000
147438.00000000,44789.00000000,3948.00000000,34558.000000,22708984.000000
147443.00000000,44794.00000000,3940.00000000,32964.000000,22708986.000000
147456.00000000,44806.00000000,3916.00000000,33444.000000,22708988.000000
147464.00000000,44818.00000000,3902.00000000,33007.000000,22708992.000000
147467.00000000,44825.00000000,3897.00000000,33641.000000,22708992.000000
147471.00000000,44833.00000000,3890.00000000,34034.000000,22708992.000000
147476.00000000,44833.00000000,3880.00000000,33816.000000,22708994.000000
147480.00000000,44839.00000000,3872.00000000,31260.000000,22708996.000000
147430.00000000,44438.00000000,4006.00000000,17956.000000,22709328.000000
147429.00000000,44508.00000000,4007.00000000,21451.000000,22709328.000000
147432.00000000,44517.00000000,4002.00000000,21954.000000,22709330.000000
147429.00000000,44557.00000000,4006.00000000,21735.000000,22709332.000000
147429.00000000,44612.00000000,4005.00000000,20709.000000,22709332.000000
147422.00000000,44680.00000000,4016.00000000,28485.000000,22709334.000000
147430.00000000,44665.00000000,4002.00000000,23330.000000,22709336.000000
147428.00000000,44706.00000000,4005.00000000,21866.000000,22709336.000000
147430.00000000,44720.00000000,4001.00000000,21692.000000,22709336.000000
147433.00000000,44755.00000000,3994.00000000,32265.000000,22709340.000000
147436.00000000,44761.00000000,3988.00000000,32570.000000,22709340.000000
147440.00000000,44768.00000000,3981.00000000,33553.000000,22709340.000000
147445.00000000,44770.00000000,3972.00000000,33816.000000,22709342.000000
147449.00000000,44776.00000000,3964.00000000,33859.000000,22709344.000000
147452.00000000,44784.00000000,3958.00000000,33947.000000,22709344.000000
147456.00000000,44789.00000000,3952.00000000,31871.000000,22709344.000000
147461.00000000,44790.00000000,3943.00000000,33226.000000,22709346.000000
147465.00000000,44796.00000000,3937.00000000,33379.000000,22709348.000000
147470.00000000,44799.00000000,3928.00000000,33816.000000,22709348.000000
147474.00000000,44808.00000000,3921.00000000,34471.000000,22709348.000000
147478.00000000,44812.00000000,3913.00000000,35279.000000,22709350.000000
147482.00000000,44816.00000000,3906.00000000,32024.000000,22709352.000000
