153807.00000000,35974.00000000,3545.00000000,31478.000000,16772654.000000
153840.00000000,35868.00000000,3552.00000000,32614.000000,16772901.000000
153617.00000000,35966.00000000,3556.00000000,36874.000000,16772947.000000
153621.00000000,35986.00000000,3592.00000000,38316.000000,16772948.000000
153512.00000000,35961.00000000,3550.00000000,34100.000000,16773187.000000
153560.00000000,35941.00000000,3578.00000000,39626.000000,16773188.000000
153560.00000000,35958.00000000,3606.00000000,38337.000000,16773189.000000
153577.00000000,35962.00000000,3632.00000000,38469.000000,16773190.000000
153600.00000000,35965.00000000,3664.00000000,36066.000000,16773191.000000
153477.00000000,35912.00000000,3564.00000000,40653.000000,16773420.000000
153484.00000000,35925.00000000,3592.00000000,38163.000000,16773421.000000
153504.00000000,35924.00000000,3616.00000000,37988.000000,16773422.000000
153522.00000000,35932.00000000,3649.00000000,35388.000000,16773423.000000
153548.00000000,35927.00000000,3674.00000000,31347.000000,16773424.000000
153578.00000000,35923.00000000,3706.00000000,35454.000000,16773425.000000
153388.00000000,35887.00000000,3547.00000000,35039.000000,16773450.000000
153420.00000000,35877.00000000,3571.00000000,39124.000000,16773451.000000
153425.00000000,35891.00000000,3599.00000000,39342.000000,16773452.000000
153433.00000000,35907.00000000,3633.00000000,36852.000000,16773453.000000
153458.00000000,35903.00000000,3658.00000000,31216.000000,16773454.000000
153488.00000000,35899.00000000,3688.00000000,32745.000000,16773455.000000
153531.00000000,35882.00000000,3717.00000000,32745.000000,16773456.000000
153562.00000000,35877.00000000,3748.00000000,33488.000000,16773457.000000
153325.00000000,35854.00000000,3549.00000000,38490.000000,16773686.000000
153354.00000000,35846.00000000,3573.00000000,38272.000000,16773687.000000
153364.00000000,35859.00000000,3607.00000000,37158.000000,16773688.000000
153371.00000000,35872.00000000,3635.00000000,33990.000000,16773689.000000
153399.00000000,35870.00000000,3666.00000000,27743.000000,16773690.000000
153429.00000000,35866.00000000,3696.00000000,34908.000000,16773691.000000
153482.00000000,35840.00000000,3724.00000000,32396.000000,16773692.000000
153495.00000000,35847.00000000,3750.00000000,36415.000000,16773693.000000
153536.00000000,35828.00000000,3773.00000000,31522.000000,16773694.000000
153216.00000000,35854.00000000,3546.00000000,32549.000000,16773915.000000
153272.00000000,35821.00000000,3565.00000000,36874.000000,16773916.000000
153293.00000000,35826.00000000,3598.00000000,38643.000000,16773917.000000
153305.00000000,35833.00000000,3624.00000000,38359.000000,16773918.000000
153328.00000000,35835.00000000,3656.00000000,31369.000000,16773919.000000
153357.00000000,35830.00000000,3686.00000000,37922.000000,16773920.000000
153392.00000000,35821.00000000,3717.00000000,35148.000000,16773921.000000
153421.00000000,35815.00000000,3741.00000000,38010.000000,16773922.000000
153455.00000000,35801.00000000,3765.00000000,37398.000000,16773923.000000
153524.00000000,35761.00000000,3790.00000000,29971.000000,16773924.000000
153530.00000000,35775.00000000,3818.00000000,34165.000000,16773925.000000
153527.00000000,35800.00000000,3853.00000000,31675.000000,16773926.000000
153189.00000000,35792.00000000,3551.00000000,37617.000000,16773937.000000
153224.00000000,35783.00000000,3580.00000000,34384.000000,16773938.000000
153232.00000000,35795.00000000,3608.00000000,33641.000000,16773939.000000
153239.00000000,35812.00000000,3642.00000000,36153.000000,16773940.000000
153273.00000000,35803.00000000,3672.00000000,36568.000000,16773941.000000
153305.00000000,35797.00000000,3702.00000000,38119.000000,16773942.000000
153345.00000000,35778.00000000,3725.00000000,38469.000000,16773943.000000
153354.00000000,35788.00000000,3751.00000000,38709.000000,16773944.000000
153426.00000000,35745.00000000,3777.00000000,29119.000000,16773945.000000
153450.00000000,35743.00000000,3802.00000000,34405.000000,16773946.000000
153475.00000000,35743.00000000,3834.00000000,25580.000000,16773947.000000
153473.00000000,35768.00000000,3869.00000000,24881.000000,16773948.000000
153509.00000000,35758.00000000,3899.00000000,28332.000000,16773949.000000
153516.00000000,35770.00000000,3928.00000000,26519.000000,16773950.000000
153527.00000000,35780.00000000,3955.00000000,26716.000000,16773951.000000
153537.00000000,35793.00000000,3987.00000000,28420.000000,16773952.000000
153088.00000000,35783.00000000,3541.00000000,30146.000000,16774160.000000
153176.00000000,35724.00000000,3561.00000000,34252.000000,16774161.000000
153154.00000000,35763.00000000,3594.00000000,36743.000000,16774162.000000
153172.00000000,35770.00000000,3625.00000000,34930.000000,16774163.000000
153199.00000000,35769.00000000,3657.00000000,33837.000000,16774164.000000
153223.00000000,35769.00000000,3688.00000000,39233.000000,16774165.000000
153247.00000000,35765.00000000,3714.00000000,37245.000000,16774166.000000
153275.00000000,35759.00000000,3738.00000000,37748.000000,16774167.000000
153309.00000000,35751.00000000,3769.00000000,35345.000000,16774168.000000
153373.00000000,35710.00000000,3788.00000000,34143.000000,16774169.000000
153391.00000000,35716.00000000,3821.00000000,33684.000000,16774170.000000
153412.00000000,35719.00000000,3852.00000000,25012.000000,16774171.000000
153419.00000000,35736.00000000,3887.00000000,30910.000000,16774172.000000
153436.00000000,35740.00000000,3913.00000000,27502.000000,16774173.000000
153453.00000000,35744.00000000,3939.00000000,27065.000000,16774174.000000
153462.00000000,35758.00000000,3973.00000000,23548.000000,16774175.000000
153481.00000000,35760.00000000,3999.00000000,26432.000000,16774176.000000
153504.00000000,35762.00000000,4031.00000000,26454.000000,16774177.000000
153506.00000000,35783.00000000,4066.00000000,31850.000000,16774178.000000
153529.00000000,35785.00000000,4098.00000000,34580.000000,16774179.000000
153546.00000000,35790.00000000,4126.00000000,29075.000000,16774180.000000
153135.00000000,35653.00000000,3535.00000000,30451.000000,16774384.000000
